date,time,username,tweet,tweet_clean
2021-07-05,05:08:12,cnnbrk,"What's left of the collapsed Florida condo building will be demolished tonight and into the early morning, the mayor says  https://t.co/k0N43nLXt3",what is left of the collapsed florida condo building will be demolished tonight and into the early morning the mayor says  
2021-07-04,23:48:51,cnnbrk,"Joey Chestnut, the defending Nathan's Hot Dog Eating Contest champion, claimed his 14th title and broke his own world record after he devoured 76 hot dogs and buns in 10 minutes  https://t.co/4Jn5hL1iq1",joey chestnut the defending nathans hot dog eating contest champion claimed his 14th title and broke his own world record after he devoured 76 hot dogs and buns in 10 minutes  
2021-07-04,20:34:41,cnnbrk,"A wildfire ravaging Cyprus has left at least four people dead, the country's interior minister says  https://t.co/sJhFQujaL4",a wildfire ravaging cyprus has left at least four people dead the countrys interior minister says  
2021-07-04,19:40:12,cnnbrk,"Pope Francis is undergoing a scheduled surgery for ""colon diverticulitis,"" a Vatican spokesman says  https://t.co/prJ1FGQzx9",pope francis is undergoing a scheduled surgery for colon diverticulitis a vatican spokesman says  
2021-07-04,17:52:55,cnnbrk,"The death toll in a Philippine Air Force plane crash has risen to at least 29, officials say  https://t.co/jbETJcLk6o",the death toll in a philippine air force plane crash has risen to at least 29 officials say  
2021-07-04,15:47:44,cnnbrk,"At least 17 people are dead after a Philippine Air Force plane crashed in the southern Philippines, officials say  https://t.co/8U67wYpB3g",at least 17 people are dead after a philippine air force plane crashed in the southern philippines officials say  
2021-07-04,09:52:06,cnnbrk,Tyson recalls 8.5 million pounds of chicken products due to possible listeria contamination  https://t.co/Urnic2jHmk,tyson recalls 85 million pounds of chicken products due to possible listeria contamination  
2021-07-04,04:01:58,cnnbrk,Search and rescue efforts at a partially collapsed South Florida condo will pause as officials prepare to demolish the building's remaining units  https://t.co/kqKNTFr4Ph,search and rescue efforts at a partially collapsed south florida condo will pause as officials prepare to demolish the buildings remaining units  
2021-07-03,22:29:11,cnnbrk,"The Vatican has indicted 10 people, including an Italian cardinal, for several alleged financial crimes including extortion, fraud and abuse of power  https://t.co/O88mxGx2Re",the vatican has indicted 10 people including an italian cardinal for several alleged financial crimes including extortion fraud and abuse of power  
2021-07-03,21:58:23,cnnbrk,Officials plan to demolish the still-standing portion of the collapsed Florida condo ahead of storm Elsa  https://t.co/vGaA314Ehf,officials plan to demolish the stillstanding portion of the collapsed florida condo ahead of storm elsa  
2021-07-03,21:56:27,cnnbrk,"A standoff overnight between Massachusetts State Police and ""several heavily armed men"" in the woods ended this morning with 11 people arrested, authorities say  https://t.co/5pelPZlHD9",a standoff overnight between massachusetts state police and several heavily armed men in the woods ended this morning with 11 people arrested authorities say  
2021-07-03,21:19:23,cnnbrk,"Two more victims were pulled from the Surfside condo collapse site, Miami-Dade mayor says. The death toll now stands at 24.  https://t.co/iFdIyBnGiZ",two more victims were pulled from the surfside condo collapse site miamidade mayor says the death toll now stands at 24  
2021-07-03,20:58:41,cnnbrk,Elsa has been downgraded to a tropical storm with sustained winds of 70 mph  https://t.co/DGW4P75kNq,elsa has been downgraded to a tropical storm with sustained winds of 70 mph  
2021-07-03,16:36:59,cnnbrk,At least two people are thought to be dead after a mudslide swept across a seaside city southwest of Tokyo  https://t.co/Ac8i3eb0m3,at least two people are thought to be dead after a mudslide swept across a seaside city southwest of tokyo  
2021-07-03,11:49:43,cnnbrk,"About 20 people are missing after a mudslide swept across a seaside city southwest of Tokyo, Japanese authorities say  https://t.co/fk4O05ZYcG",about 20 people are missing after a mudslide swept across a seaside city southwest of tokyo japanese authorities say  
2021-07-03,06:03:09,cnnbrk,"Miles away from the deadly condo collapse, another condo building has been ordered evacuated after it was determined to be unsafe  https://t.co/Z4wwJNk7kg",miles away from the deadly condo collapse another condo building has been ordered evacuated after it was determined to be unsafe  
2021-07-03,05:14:05,cnnbrk,US officials are tracking a major new ransomware attack on an IT vendor by the same group that hit a meat supplier this spring  https://t.co/kNNaJoA6qm,us officials are tracking a major new ransomware attack on an it vendor by the same group that hit a meat supplier this spring  
2021-07-03,04:44:58,cnnbrk,"Six cases of Covid-19 have developed among the search and rescue operations at the collapsed Florida condo, a fire rescue official says  https://t.co/yUyh79toS2",six cases of covid19 have developed among the search and rescue operations at the collapsed florida condo a fire rescue official says  
2021-07-03,03:31:45,cnnbrk,The Miami-Dade County mayor has ordered the rest of the collapsed condo building to be demolished. The toll now stands at 22 people dead.  https://t.co/vBnCEccetL,the miamidade county mayor has ordered the rest of the collapsed condo building to be demolished the toll now stands at 22 people dead  
2021-07-03,01:36:57,cnnbrk,Dodgers pitcher Trevor Bauer has been placed on leave as police and the league investigate assault allegations against him  https://t.co/SreIC4ABxw,dodgers pitcher trevor bauer has been placed on leave as police and the league investigate assault allegations against him  
2021-07-02,22:50:17,cnnbrk,"The Boy Scouts of America reaches an $850 million settlement with sexual abuse victims, it says in a news release.  https://t.co/WPVKB3ZlB1",the boy scouts of america reaches an 850 million settlement with sexual abuse victims it says in a news release  
2021-07-02,22:20:34,cnnbrk,"Sha'Carri Richardson is suspended from the US Olympic team for one month. It is not yet determined whether she will go to the Tokyo Games, but she will not be allowed to participate in her signature 100m race. CNN has reached out to Team USA for clarity.  https://t.co/vWKVUdrDu8",shacarri richardson is suspended from the us olympic team for one month it is not yet determined whether she will go to the tokyo games but she will not be allowed to participate in her signature 100m race cnn has reached out to team usa for clarity  
2021-07-02,22:12:48,cnnbrk,"The confirmed death toll is at 20 in the Florida condo collapse, the county's mayor says. There are 128 people unaccounted for.  https://t.co/5dyVAXNNWV",the confirmed death toll is at 20 in the florida condo collapse the countys mayor says there are 128 people unaccounted for  
2021-07-02,19:07:11,cnnbrk,US track and field star Sha'Carri Richardson is suspended from the US Olympic team for one month after a positive marijuana test and will not be allowed to race in the Tokyo Games  https://t.co/HaLVUWzJeM,us track and field star shacarri richardson is suspended from the us olympic team for one month after a positive marijuana test and will not be allowed to race in the tokyo games  
2021-07-02,18:24:27,cnnbrk,"The US economy added 850,000 jobs in June. The number is far more than economists had expected but nevertheless, America's once-strong labor market is still far from being back to normal.  https://t.co/Ds6DGKwUM3",the us economy added 850000 jobs in june the number is far more than economists had expected but nevertheless americas oncestrong labor market is still far from being back to normal  
2021-07-02,09:07:03,cnnbrk,"The last US troops are about to leave Bagram Air Base, the sprawling compound that became the center of military power in Afghanistan  https://t.co/dfXockuUzx",the last us troops are about to leave bagram air base the sprawling compound that became the center of military power in afghanistan  
2021-07-02,06:36:26,cnnbrk,Attorney General Merrick Garland orders a temporary halt to federal executions while the DOJ reviews its policies  https://t.co/DfhmJIVCKh,attorney general merrick garland orders a temporary halt to federal executions while the doj reviews its policies  
2021-07-02,06:16:44,cnnbrk,"One day after a judge ordered Bessemer Trust co-conservator of Britney Spears' $60 million estate, the wealth management firm has asked to resign  https://t.co/amFSZzMHD7",one day after a judge ordered bessemer trust coconservator of britney spears 60 million estate the wealth management firm has asked to resign  
2021-07-02,05:10:22,cnnbrk,"The NFL has fined the Washington Football Team $10 million after the conclusion of an investigation that found the club's work environment was ""highly unprofessional,"" especially for women  https://t.co/xXZKrm5xHo",the nfl has fined the washington football team 10 million after the conclusion of an investigation that found the clubs work environment was highly unprofessional especially for women  
2021-07-02,04:47:33,cnnbrk,Richard Branson hopes to beat rival Jeff Bezos to space and plans an attempt in Virgin Galactic's rocket-powered plane later this month  https://t.co/JwVWycTNdi,richard branson hopes to beat rival jeff bezos to space and plans an attempt in virgin galactics rocketpowered plane later this month  
2021-07-02,03:20:58,cnnbrk,"California voters will decide whether to recall Gov. Gavin Newsom in an election on September 14, the state lieutenant governor says  https://t.co/gUExwXF14h",california voters will decide whether to recall gov gavin newsom in an election on september 14 the state lieutenant governor says  
2021-07-02,00:15:29,cnnbrk,Prosecutors allege the Trump Organization engaged in a 15-year tax scheme in newly unsealed criminal charges. Follow live updates.  https://t.co/v7091G0XrW,prosecutors allege the trump organization engaged in a 15year tax scheme in newly unsealed criminal charges follow live updates  
2021-07-01,22:42:04,cnnbrk,A massive US plan to change how multinational companies are taxed takes a huge step forward with 130 countries and jurisdictions now on board  https://t.co/kQN5kYzjdI,a massive us plan to change how multinational companies are taxed takes a huge step forward with 130 countries and jurisdictions now on board  
2021-07-01,20:24:05,cnnbrk,House Speaker Pelosi says she's appointing Rep. Liz Cheney to serve on the committee that will investigate the January 6 insurrection  https://t.co/veORLRz7JP,house speaker pelosi says she is appointing rep liz cheney to serve on the committee that will investigate the january 6 insurrection  
2021-07-01,19:56:30,cnnbrk,"The Supreme Court throws out a California rule on charitable donor disclosures in case that's feared could let more ""dark money"" into politics  https://t.co/Ej81u3JTUK",the supreme court throws out a california rule on charitable donor disclosures in case that is feared could let more dark money into politics  
2021-07-01,19:42:53,cnnbrk,The Supreme Court says two Arizona voting rules that restrict how ballots can be cast do not violate the historic Voting Rights Act  https://t.co/Ur8O832qjT,the supreme court says two arizona voting rules that restrict how ballots can be cast do not violate the historic voting rights act  
2021-07-01,16:25:00,cnnbrk,"The Trump Organization's CFO, Allen Weisselberg, has surrendered to the Manhattan DA. Charges in a tax probe are expected to be unsealed today.  https://t.co/OEMOxpPNO1",the trump organizations cfo allen weisselberg has surrendered to the manhattan da charges in a tax probe are expected to be unsealed today  
2021-07-01,12:22:32,cnnbrk,"At least 17 people were injured in Los Angeles after an explosion occurred inside a police bomb squad disposal truck, officials said.  https://t.co/TPouRxjbG6",at least 17 people were injured in los angeles after an explosion occurred inside a police bomb squad disposal truck officials said  
2021-07-01,10:24:50,cnnbrk,"In an event commemorating the 100th anniversary of the Chinese Communist Party Thursday, President Xi Jinping claimed that only the party could ensure China's continued assent and stability, and any attempt to divide the party from the country would fail.  https://t.co/UH1QAd0TBN",in an event commemorating the 100th anniversary of the chinese communist party thursday president xi jinping claimed that only the party could ensure chinas continued assent and stability and any attempt to divide the party from the country would fail  
2021-07-01,06:44:08,cnnbrk,"A Manhattan grand jury has indicted the Trump Organization and its Chief Financial Officer Allen Weisselberg, sources say  https://t.co/Cw5x9NFnFc",a manhattan grand jury has indicted the trump organization and its chief financial officer allen weisselberg sources say  
2021-07-01,05:18:46,cnnbrk,"A federal safety agency says it will launch an investigation into what caused the building collapse in Surfside, Florida  https://t.co/foZCswwC1M",a federal safety agency says it will launch an investigation into what caused the building collapse in surfside florida  
2021-07-01,04:37:26,cnnbrk,"Rescue and search crews found the bodies of two children at the site of the South Florida building collapse, bringing the death toll to 18  https://t.co/WA6uyKRGmO",rescue and search crews found the bodies of two children at the site of the south florida building collapse bringing the death toll to 18  
2021-07-01,04:02:47,cnnbrk,"Starting Thursday, college athletes can profit from endorsements, social media and other sources of income  https://t.co/4K4HoPUDAi",starting thursday college athletes can profit from endorsements social media and other sources of income  
2021-07-01,01:22:17,cnnbrk,US House approves the formation of a select committee to investigate the January 6 Capitol insurrection  https://t.co/OmineppSI6,us house approves the formation of a select committee to investigate the january 6 capitol insurrection  
2021-07-01,01:05:59,cnnbrk,"Former Secretary of Defense Donald Rumsfeld has died at the age of 88, according to his family  https://t.co/b13N4hKMtb",former secretary of defense donald rumsfeld has died at the age of 88 according to his family  
